Job Title,Company Name,Location
Front End Developer - Metaverse company - Remote Work,Front End Developer - Metaverse company - Remote Work,Union européenne (À distance)
.NET Developer,.NET Developer,"Turin, Piémont, Italie (Hybride)"
Software Engineer (Python/Linux/Packaging),Software Engineer (Python/Linux/Packaging),"Turin, Piémont, Italie (À distance)"
C/C++ Software Developer - SETTORE AEROSPACE,C/C++ Software Developer - SETTORE AEROSPACE,"Turin, Piémont, Italie (Sur site)"
SOFTWARE ARCHITECT,SOFTWARE ARCHITECT,"Turin, Piémont, Italie (Hybride)"
Hardware/Software Tester Engineer,Hardware/Software Tester Engineer,"Turin, Piémont, Italie (Sur site)"
Business Developer (Remote UE - 🇫🇷 Fluent),Business Developer (Remote UE - 🇫🇷 Fluent),Italie (À distance)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
